gate_id,claim_or_lock,manuscript_location,decision_ids,evidence,verification,claim_limit,status
V20-G14,Every numerical claim and the complete raw/checkpoint provenance chain for the local directional-geometry section are publicly verifiable.,Local Directional Geometry Probe,geometry analysis,analysis/local_geometry/raw_sources/*.json; analysis/local_geometry/execution_provenance/code/*.py; checkpoints/vitb_r32/VITB_R32_CHECKPOINT_MANIFEST.json; analysis/local_geometry/reference_outputs/geometry_direction_level.csv; analysis/local_geometry/reference_outputs/geometry_seed_level.csv; analysis/local_geometry/reference_outputs/geometry_aggregate.csv; analysis/local_geometry/reference_outputs/geometry_radius_sensitivity.csv; analysis/local_geometry/reference_outputs/geometry_public_provenance.json; analysis/local_geometry/verify_geometry_analysis.py,"Six raw JSON digests PASS; execution-source hashes PASS; 1,584/1,584 raw direction rows and 48/48 seed rows reconstructed; 48/48 checkpoint paths linked to SHA-256; 6/6 historical Sinusoidal digests match; aggregate and radius checks PASS.",Checkpoint binaries are not redistributed. The complete 48-file digest manifest was reconstructed post hoc from the retained original cohort; six hashes have an independent historical cross-check.,PASS
V20-G15,Clean-accuracy table is seed-level reproducible from public evaluation anchors.,Clean-performance subsection; Table 1,clean-accuracy generation,data/clean_accuracy_eval_subset_seed_level.csv; analysis/cross_cohort/reference_bundle/v19_vits_clean_accuracy.csv; analysis/clean_accuracy/build_clean_accuracy_table.py,All 12 cells generated from six seed values on locked evaluation splits.,"Table describes robustness evaluation populations, not complete dataset sets.",PASS
V20-G16,Adding the post-lock ViT-S Sinusoidal budget-0.020 points strengthens the primary result.,Cross-cohort section; Supplement S7,post-lock grid sensitivity,data/objective_specific/all_restart_audit/POINT_SELECTION_SUMMARY_v1.csv; analysis/cross_cohort/reference_outputs/postlock_grid_sensitivity_seed_level.csv; analysis/cross_cohort/reference_outputs/postlock_grid_sensitivity_report.json,Mean adversarial nAUC 0.766366 -> 0.721777; all six seed deltas negative; ordering unchanged.,Post hoc sensitivity only; prelocked-grid estimate remains primary.,PASS
V20-G17,All manuscript tables are generated or input from versioned table sources.,Main tables; Supplement S1-S7,table-generation QA,scripts/generate_manuscript_tables.py; manuscript/tables/*.tex,Table generation completes; no central numerical table remains inline in manuscript source.,Narrative text still requires ordinary editorial review.,PASS
V20-G18,Public training-source coverage is partial and does not include the production ViT-S/16 launchers.,Repository README; experiments documentation; checkpoint manifest,training-source publication boundary,experiments/training/README.md; experiments/training/vitb_amp_training_source.py; experiments/configs/vits_in100_locked_protocol.json; checkpoints/vits_fp32_checkpoint_manifest.json,Only the historical ViT-B/16 AMP driver is present; misleading byte-identical ViT-S duplicate removed; ViT-S full-FP32 and AMP launcher absence explicitly documented.,No source-level from-scratch retraining claim for either ViT-S cohort; analysis-level reproduction remains complete.,PASS
V20-G19,The historical ViT-B/16 ImageNet harmonization decision is documented without claiming unavailable public row-level N-to-2N outputs.,Attack protocol; repository evidence boundary,ViT-B harmonization historical lock,audit/historical/vitb_harmonization/run_vitb_harmonization.py; audit/historical/vitb_harmonization/EXPERIMENT_RUN_LEDGER_v1.csv; audit/historical/vitb_harmonization/VITB_HARMONIZATION_PUBLIC_EVIDENCE.json; experiments/configs/vits_in100_locked_protocol.json,Five registered seed-123 harmonization runs present; runner enforces matched restart seeds and fixed split; manuscript explicitly states row-level historical outputs/closure are not redistributed and removes the unsupported selected-attack-loss threshold.,"Historical schedule-lock provenance, not public row-level numerical reproduction of the original N-to-2N table.",PASS
V20-G20,The seed-42 Blackwell-to-H200 numerical agreement is an audit-recorded cross-hardware check.,Final displacement-grid construction,historical hardware recheck,audit/historical/cross_hardware/POINT_3_5_AUDIT_REPORT_CANONICAL_v10.md; audit/historical/cross_hardware/D033A_PROVENANCE_REPORT.json; configs/attack_eval_numerical_mode.json,Historical summary records maxima 0.000491 normalized accuracy and 2.55718e-05 achieved rho; manuscript reproduces these values and states the earlier raw Blackwell log is not redistributed.,Audit-recorded comparison only; not a publicly rerunnable paired raw-hardware experiment. Homogeneous H200 values enter the final grid.,PASS
V20-G21,The local directional geometry probe covers exactly the 48 canonical ViT-B/16 checkpoints and no ViT-S/16 checkpoint.,Local Directional Geometry Probe; limitations,geometry cohort scope,analysis/local_geometry/README.md; analysis/local_geometry/reference_outputs/geometry_public_verification.json; checkpoints/vitb_r32/VITB_R32_CHECKPOINT_MANIFEST.json,48 checkpoint groups = 2 datasets x 4 families x 6 seeds; manuscript method and limitations explicitly name ViT-B/16 and exclude ViT-S/16.,No cross-architecture geometry-probe generalization.,PASS
V20-G22,"Checkpoint identities are documented for ViT-B canonical, ViT-S full-FP32, and ViT-S AMP cohorts with transparent timing semantics.",Data Availability; checkpoint documentation,checkpoint provenance closure,checkpoints/vitb_r32/VITB_R32_CHECKPOINT_MANIFEST.json; checkpoints/vitb_r32/VITB_CANONICAL_ATTACK_CHECKPOINT_BINDING.json; checkpoints/vits_fp32_checkpoint_manifest.json; checkpoints/vits_amp/VITS_FP16_CHECKPOINT_MANIFEST.json,48 ViT-B attack paths bind 48/48 to the post-hoc digest manifest; 24 ViT-S full-FP32 records; 18 ViT-S AMP records; post-hoc ViT-B digest timing and 6 historical cross-checks are disclosed.,"Historical ViT-B attack JSONs store paths, not contemporaneous SHA-256 digests; checkpoint binaries are not redistributed.",PASS
V20-G23,"Public release metadata and documentation do not retain stale trainability/pending statements, and Supplement architecture tables are called out in text.",Repository documentation; Supplement S1-S4,release documentation QA,experiments/configs/vits_in100_locked_protocol.json; scripts/verify_repository.py; manuscript/pe_robustness_nn_supplement.tex,"No stale pending block; repository-wide Markdown guard rejects unsupported exact ALiBi failure wording; tab:s-orders, tab:s-did, tab:s-dispersion, and tab:s-signs each have in-text references.",Unused section/equation labels are stylistic and not evidence gaps.,PASS
V20-G24,"Three targeted ViT-S/16 Sinusoidal coverage-extension runs did not enlarge support for seeds 123, 456, and 1213.",Canonical four-family cross-cohort comparison; Supplement S7,coverage-extension evidence boundary,audit/historical/vitb_harmonization/EXPERIMENT_RUN_LEDGER_v1.csv; data/vits_fp32_results.zip; audit/historical/sinusoidal_audit/VITS_SINUSOIDAL_COVERAGE_EXTENSION_PUBLIC_EVIDENCE.json,Three COMPLETE_TARGET_NOT_REACHED ledger rows; combined maxima match canonical maxima to ledger precision.,Original row-level SINEXT JSONs are not redistributed; later all-restart budget-0.020 audit is distinct.,PASS
V20-G25,Historical numerical-mode wording is limited to engine-source-level float32/no-autocast facts; later audit lock permits TF32.,Methods; AMP-matched comparison; Data Availability,numerical-mode provenance,configs/attack_eval_numerical_mode.json; audit/historical/sinusoidal_audit/ATTACK_EVAL_NUMERICAL_MODE_v1.json; audit/historical/sinusoidal_audit/D033A_PROVENANCE_REPORT.json,No autocast/GradScaler; float32 input/model requirements; MATH SDPA is explicitly selected in the locked PyTorch 2.8 environment when torch.nn.attention is available; matmul_allow_tf32=true.,Later environment capture is not contemporaneous proof for all historical canonical runs.,PASS
V20-G26,Schedule development used empirical convergence separation rather than a prespecified numerical threshold.,Attack protocol; Limitations,schedule-lock semantics,audit/historical/cross_hardware/POINT_3_5_AUDIT_REPORT_CANONICAL_v10.md; audit/historical/vitb_harmonization/VITB_HARMONIZATION_PUBLIC_EVIDENCE.json,POINT_3_5 explicitly states no prespecified numerical convergence threshold and reports observed 0.00410 vs >=0.00579 loss-change separation.,Observed values are not an a priori 0.005 criterion.,PASS
V20-G27,Release SHA manifest contains no Git-ignored LaTeX build artifacts.,Repository release engineering,release integrity,.gitignore; scripts/prepare_release.py; scripts/verify_repository.py; SHA256SUMS_REPOSITORY.txt,Verifier/test reject .aux/.log/.out/.spl/.synctex.gz in release tree or SHA manifest.,PDF and clean source remain distributed.,PASS
V20-G28,Rendered manuscript page counts match the audit record.,Audit metadata,page-count regression guard,audit/manuscript_internal_label_removal.md; manuscript/*.pdf; scripts/verify_repository.py,pypdf page counts are compared automatically with audit claims.,Requires PDFs to be present in release candidate.,PASS
V20-G29,Cross-document supplement references and ImageNet validation-copy provenance are stable and explicit.,Methods; Supplement references,cross-document/reference provenance,manuscript/pe_robustness_nn_main.tex; manuscript/pe_robustness_nn_supplement.tex; configs/data_splits.json; audit/historical/sinusoidal_audit/SINUSOIDAL_PER_RESTART_AUDIT_INPUT_LOCK_v1.json,xr-hyper labels replace hardcoded S1/S6/S7 references; sample-order and split SHA-256 match across ViT-B/ViT-S physical copies.,Historical POINT_3_5 protocol hash remains unbound source-record metadata only.,PASS
V20-G30,Abstract texcount metadata is internally consistent across audit records and tied to the distributed manuscript source.,Audit metadata,abstract-word-count regression guard,audit/manuscript_internal_label_removal.md; audit/PUBLIC_REPOSITORY_RELEASE_AUDIT_v1.0.0.json; manuscript/pe_robustness_nn_main.tex; scripts/verify_repository.py,"Audit records must report the same texcount value; when texcount is installed, verifier checks the extracted abstract directly.",Direct texcount execution is conditional on texcount availability; cross-record consistency is always checked.,PASS
